date,total_clones,unique_clones
2022-08-14,1,1
2022-08-15,0,0
2022-08-16,2,1
2022-08-17,0,0
2022-08-18,0,0
2022-08-19,0,0
2022-08-20,0,0
2022-08-21,0,0
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,0,0
2022-08-25,8,5
2022-08-26,1,1
2022-08-27,8,5
2022-08-28,1,1
2022-08-29,3,2
2022-08-30,3,2
2022-08-31,5,3
2022-09-01,3,3
2022-09-02,4,4
2022-09-03,3,3
2022-09-04,3,3
2022-09-05,3,3
2022-09-06,3,3
2022-09-07,5,4
2022-09-08,1,1
2022-09-09,1,1
2022-09-10,3,2
2022-09-11,1,1
2022-09-12,1,1
2022-09-13,1,1
2022-09-14,1,1
2022-09-15,2,2
2022-09-16,1,1
2022-09-17,1,1
2022-09-18,1,1
2022-09-19,1,1
2022-09-20,1,1
2022-09-21,3,3
2022-09-22,2,2
2022-09-23,1,1
2022-09-24,1,1
2022-09-25,1,1
2022-09-26,2,2
2022-09-27,1,1
2022-09-28,1,1
2022-09-29,1,1
2022-09-30,1,1
2022-10-01,3,3
2022-10-02,2,2
2022-10-03,1,1
2022-10-04,1,1
2022-10-05,1,1
2022-10-06,1,1
2022-10-07,4,3
2022-10-08,3,2
2022-10-09,4,3
2022-10-10,1,1
2022-10-11,1,1
2022-10-12,4,3
2022-10-13,3,2
2022-10-14,4,3
2022-10-15,5,4
2022-10-16,4,3
2022-10-17,4,3
2022-10-18,4,3
2022-10-19,3,3
2022-10-20,4,4
2022-10-21,2,2
2022-10-22,2,2
2022-10-23,3,3
2022-10-24,2,2
2022-10-25,2,2
2022-10-26,2,2
2022-10-27,3,3
2022-10-28,0,0
