date,total_views,unique_views
2022-08-16,5,2
2022-08-17,0,0
2022-08-18,3,1
2022-08-19,0,0
2022-08-20,0,0
2022-08-21,5,2
2022-08-22,0,0
2022-08-23,2,1
2022-08-24,0,0
2022-08-25,14,1
2022-08-26,4,3
2022-08-27,5,1
2022-08-28,0,0
2022-08-29,0,0
2022-08-30,10,4
2022-08-31,3,2
2022-09-01,3,3
2022-09-02,12,4
2022-09-03,0,0
2022-09-04,3,2
2022-09-05,5,4
2022-09-06,3,1
2022-09-07,3,2
2022-09-08,4,1
2022-09-09,0,0
2022-09-10,0,0
2022-09-11,0,0
2022-09-12,4,2
2022-09-13,0,0
2022-09-14,2,1
2022-09-15,3,1
2022-09-16,0,0
2022-09-17,2,1
2022-09-18,1,1
2022-09-19,0,0
2022-09-20,6,2
2022-09-21,9,2
2022-09-22,3,3
2022-09-23,1,1
2022-09-24,0,0
2022-09-25,2,1
2022-09-26,0,0
2022-09-27,2,2
2022-09-28,0,0
2022-09-29,3,2
2022-09-30,0,0
2022-10-01,1,1
2022-10-02,9,1
2022-10-03,2,2
2022-10-04,0,0
2022-10-05,0,0
2022-10-06,0,0
2022-10-07,0,0
2022-10-08,0,0
2022-10-09,1,1
2022-10-10,0,0
2022-10-11,0,0
2022-10-12,6,3
2022-10-13,2,1
2022-10-14,2,1
2022-10-15,0,0
2022-10-16,0,0
2022-10-17,2,1
2022-10-18,0,0
2022-10-19,0,0
2022-10-20,4,1
2022-10-21,0,0
2022-10-22,3,2
2022-10-23,0,0
2022-10-24,5,1
2022-10-25,7,1
2022-10-26,2,2
2022-10-27,15,2
2022-10-28,0,0
2022-10-29,0,0
2022-10-30,2,2
2022-10-31,0,0
2022-11-01,6,2
2022-11-02,1,1
2022-11-03,0,0
2022-11-04,3,1
2022-11-05,8,2
2022-11-06,5,1
2022-11-07,3,2
2022-11-08,3,2
2022-11-09,0,0
2022-11-10,3,1
2022-11-11,4,1
2022-11-12,0,0
2022-11-13,3,1
2022-11-14,10,3
2022-11-15,16,5
2022-11-16,13,4
2022-11-17,11,3
2022-11-18,7,2
2022-11-19,2,2
2022-11-20,0,0
2022-11-21,0,0
2022-11-22,2,1
2022-11-23,0,0
2022-11-24,0,0
2022-11-25,1,1
2022-11-26,0,0
2022-11-27,0,0
2022-11-28,6,3
2022-11-29,2,1
2022-11-30,2,1
2022-12-01,0,0
2022-12-02,1,1
2022-12-03,0,0
2022-12-04,3,1
2022-12-05,0,0
2022-12-06,0,0
2022-12-07,9,1
2022-12-08,0,0
2022-12-09,0,0
2022-12-10,0,0
2022-12-11,0,0
2022-12-12,0,0
2022-12-13,0,0
2022-12-14,6,1
2022-12-15,0,0
2022-12-16,0,0
2022-12-17,0,0
2022-12-18,0,0
2022-12-19,0,0
2022-12-20,0,0
2022-12-21,0,0
2022-12-22,0,0
2022-12-23,0,0
2022-12-24,0,0
2022-12-25,0,0
2022-12-26,8,1
2022-12-27,8,1
2022-12-28,3,1
2022-12-29,0,0
2022-12-30,0,0
2022-12-31,0,0
2023-01-01,0,0
2023-01-02,0,0
2023-01-03,0,0
2023-01-04,5,2
2023-01-05,3,1
2023-01-06,0,0
2023-01-07,2,1
2023-01-08,0,0
2023-01-09,0,0
2023-01-10,8,2
2023-01-11,1,1
2023-01-12,0,0
2023-01-13,0,0
2023-01-14,0,0
2023-01-15,6,3
2023-01-16,0,0
2023-01-17,14,3
2023-01-18,19,3
2023-01-19,0,0
2023-01-20,1,1
2023-01-21,0,0
2023-01-22,8,2
2023-01-23,20,4
2023-01-24,87,4
2023-01-25,0,0
2023-01-26,2,1
2023-01-27,0,0
2023-01-28,0,0
2023-01-29,0,0
2023-01-30,1,1
2023-01-31,0,0
2023-02-01,0,0
2023-02-02,6,1
2023-02-03,0,0
2023-02-04,2,1
2023-02-05,1,1
2023-02-06,1,1
2023-02-07,7,1
2023-02-08,3,1
2023-02-09,0,0
2023-02-10,3,2
2023-02-11,0,0
2023-02-12,10,1
2023-02-13,4,1
2023-02-14,2,1
2023-02-15,0,0
2023-02-16,1,1
2023-02-17,22,4
2023-02-18,0,0
2023-02-19,9,3
2023-02-20,12,3
2023-02-21,1,1
2023-02-22,1,1
2023-02-23,0,0
2023-02-24,4,1
2023-02-25,0,0
2023-02-26,2,2
2023-02-27,2,2
2023-02-28,12,3
2023-03-01,0,0
2023-03-02,9,3
2023-03-03,3,1
2023-03-04,4,1
2023-03-05,18,3
2023-03-06,1,1
2023-03-07,0,0
2023-03-08,1,1
2023-03-09,0,0
2023-03-10,4,2
2023-03-11,0,0
2023-03-12,0,0
2023-03-13,4,1
2023-03-14,2,1
2023-03-15,1,1
2023-03-16,0,0
2023-03-17,0,0
2023-03-18,1,1
2023-03-19,0,0
2023-03-20,0,0
2023-03-21,0,0
2023-03-22,3,2
2023-03-23,1,1
2023-03-24,0,0
